domain,icao_hex,registration,group,type,comments
EMS,c827ac,ZK-IZB,EMS_ROTOR_RESCUE,a-f-A-C-H,Auckland Rescue Helicopter #SAR
EMS,c82a08,ZK-LFA,EMS_FIXED_WING,a-f-A-C-F,Life Flight
EMS,c82a1b,ZK-LFI,EMS_FIXED_WING,a-f-A-C-F,Life Flight
EMS,c82a0f,ZK-LFL,EMS_FIXED_WING,a-f-A-C-F,Life Flight
EMS,c81e3c,ZK-SAR,CIV_FIXED_ISR,a-f-A-C-F,Royal New Zealand Coastguard
EMS,c82285,ZK-SSH,EMS_FIXED_WING,a-f-A-C-F,Starship Air Ambulance
FIRE,c8298d,ZK-IDJ,FIRE_ROTOR,a-f-A-C-H, #FENZ
FIRE,c80ee4,ZK-HHB,FIRE_ROTOR,a-f-A-C-H, #FENZ
FIRE,c818c5,ZK-ITX,FIRE_ROTOR,a-f-A-C-H, #FENZ
FIRE,c80fc7,ZK-HJL,FIRE_ROTOR,a-f-A-C-H, #FENZ
FIRE,c8180e,ZK-IAY,FIRE_ROTOR,a-f-A-C-H, #FENZ
FIRE,c8079a,ZK-HCH,FIRE_ROTOR,a-f-A-C-H, #FENZ
FIRE,c829b8,ZK-IEB,FIRE_ROTOR,a-f-A-C-H, #FENZ
FIRE,c8170c,ZK-HRL,FIRE_ROTOR,a-f-A-C-H, #FENZ
FIRE,c8092a,ZK-HDK,FIRE_ROTOR,a-f-A-C-H, #FENZ
FIRE,c80f5c,ZK-HUE,FIRE_ROTOR,a-f-A-C-H, #FENZ
FIRE,c822c5,ZK-IWG,FIRE_ROTOR,a-f-A-C-H, #FENZ
